date,symbol,action,quantity
2025-01-15,GC=F,BUY,100
2025-01-22,SI=F,BUY,250
2025-02-03,CL=F,BUY,500
2025-02-10,GC=F,SELL,50
2025-02-18,SI=F,BUY,150
2025-03-05,CL=F,SELL,200
2025-03-12,GC=F,BUY,75
2025-03-25,SI=F,SELL,100
2025-04-02,CL=F,BUY,300
2025-04-15,GC=F,SELL,25
2025-04-28,SI=F,BUY,200
2025-05-08,CL=F,SELL,150
2025-05-20,GC=F,BUY,120
2025-06-03,SI=F,SELL,80
2025-06-18,CL=F,BUY,400
2025-07-01,GC=F,BUY,90
2025-07-14,SI=F,BUY,175
2025-07-28,CL=F,SELL,250
2025-08-05,GC=F,SELL,60
2025-08-19,SI=F,BUY,300
2025-09-02,CL=F,BUY,350
2025-09-15,GC=F,BUY,110
2025-09-29,SI=F,SELL,125
2025-10-10,CL=F,SELL,180
2025-10-24,GC=F,SELL,40
2025-11-05,SI=F,BUY,220
2025-11-18,CL=F,BUY,280
2025-12-01,GC=F,BUY,85
2025-12-12,SI=F,SELL,90
2025-12-22,CL=F,SELL,320
